sp_id,sp_hh_id,serialno,stcotrbg,age,sex,race,sporder,relate,sp_school_id,sp_work_id
165108897,11054939,2007000970678,"420659508003",49,2,1,2,1,,514270113
165108898,11054939,2007000970678,"420659508003",25,1,1,3,2,,514270117
165108899,11057986,2007000970678,"420659510004",49,1,1,1,0,,513927804
165108900,11057986,2007000970678,"420659510004",49,2,1,2,1,,514269437
165108901,11057986,2007000970678,"420659510004",25,1,1,3,2,,513977782
165108902,11058259,2007000970678,"420659511001",49,1,1,1,0,,514268522
165108904,11058259,2007000970678,"420659511001",25,1,1,3,2,,514267880
165108907,11059640,2007000970678,"420659511004",25,1,1,3,2,,514268812
165237029,11049723,2007000973874,"420659505002",79,2,1,1,0,,
165237032,11053000,2007000973874,"420659507003",79,2,1,1,0,,
165237034,11053000,2007000973874,"420659507003",43,1,1,3,2,,514267988
165281734,11046981,2007000974961,"420659503002",57,1,1,1,0,,514267727
165281736,11047494,2007000974961,"420659503003",9,2,1,3,5,450129160,
165281738,11053810,2007000974961,"420659508001",52,2,1,2,1,,514270908
165281739,11053810,2007000974961,"420659508001",9,2,1,3,5,450111632,
165281740,11053810,2007000974961,"420659508001",57,1,1,1,0,,514269550
165281741,11054768,2007000974961,"420659508003",52,2,1,2,1,,514271525
165281743,11054768,2007000974961,"420659508003",57,1,1,1,0,,514269525
165281744,11057647,2007000974961,"420659510003",52,2,1,2,1,,513932694
165281746,11057647,2007000974961,"420659510003",57,1,1,1,0,,514270332
165281747,11058985,2007000974961,"420659511003",52,2,1,2,1,,514269175
165281749,11058985,2007000974961,"420659511003",57,1,1,1,0,,514268338
165355522,11047217,2007000976698,"420659503003",18,2,1,2,2,450110845,
165355524,11047664,2007000976698,"420659503004",18,2,1,2,2,450110702,
165355525,11047664,2007000976698,"420659503004",34,2,1,1,0,,506241198
165355529,11048670,2007000976698,"420659504002",34,2,1,1,0,,514268386
165355530,11052913,2007000976698,"420659507002",18,2,1,2,2,450132231,
165355531,11052913,2007000976698,"420659507002",34,2,1,1,0,,514267710
165355533,11057633,2007000976698,"420659510003",34,2,1,1,0,,513916678
165355534,11057762,2007000976698,"420659510003",18,2,1,2,2,450150577,
165355535,11057762,2007000976698,"420659510003",34,2,1,1,0,,514268752
165784264,11051281,2007000986916,"420659506003",55,1,1,1,0,,
165784265,11051281,2007000986916,"420659506003",14,2,1,5,2,450129160,
165784266,11051281,2007000986916,"420659506003",52,2,1,2,1,,
165784267,11051281,2007000986916,"420659506003",18,1,1,3,2,,
165807765,11054676,2007000987488,"420659508003",77,1,1,1,0,,
165888205,11045940,2007000989394,"420659502003",53,1,1,1,0,,514269734
165888206,11046404,2007000989394,"420659503001",53,2,1,2,1,,514268309
165888207,11046404,2007000989394,"420659503001",21,1,1,3,2,,514269732
165888208,11046404,2007000989394,"420659503001",53,1,1,1,0,,514269085
165888211,11047475,2007000989394,"420659503003",53,1,1,1,0,,514268004
165888213,11048309,2007000989394,"420659504001",21,1,1,3,2,,514268285
165888217,11049957,2007000989394,"420659505002",53,1,1,1,0,,514268393
165888218,11059155,2007000989394,"420659511003",53,2,1,2,1,,514268705
165888222,11059374,2007000989394,"420659511004",21,1,1,3,2,,514268522
165888223,11059374,2007000989394,"420659511004",53,1,1,1,0,,514269272
165906786,11052076,2007000989837,"420659506005",35,1,1,1,0,,514268090
165906787,11052076,2007000989837,"420659506005",31,2,1,2,1,,514267998
165906788,11052076,2007000989837,"420659506005",8,1,1,3,2,450129160,
165906791,11053446,2007000989837,"420659507003",31,2,1,2,1,,514270454
166023517,11058361,2007000992620,"420659511001",40,1,1,1,0,,513928151
166023518,11058361,2007000992620,"420659511001",18,1,1,2,2,450063600,514269447
166023519,11058361,2007000992620,"420659511001",11,2,1,3,2,450066968,
166023522,11060013,2007000992620,"420659512001",11,2,1,3,2,450066968,
166023523,11061072,2007000992620,"420659512003",40,1,1,1,0,,513933724
166023525,11061072,2007000992620,"420659512003",11,2,1,3,2,450066968,
166050422,11059663,2007000993195,"420659511004",49,1,1,1,0,,513937040
166050425,11060284,2007000993195,"420659512002",51,2,1,2,1,,514267932
166050429,11061004,2007000993195,"420659512003",51,2,1,2,1,,514268680
166127393,11059519,2007000995084,"420659511004",51,1,1,2,2,,513932016
166142052,11047838,2007000995426,"420659503005",60,1,1,1,0,,514266992
166142056,11048663,2007000995426,"420659504002",60,1,1,1,0,,514271168
166142058,11048817,2007000995426,"420659504003",60,1,1,1,0,,514267742
166142059,11050497,2007000995426,"420659506002",60,2,1,2,1,,514268257
166142061,11054198,2007000995426,"420659508002",60,2,1,2,1,,514269816
166142062,11054198,2007000995426,"420659508002",60,1,1,1,0,,514270859
166142064,11058673,2007000995426,"420659511002",60,1,1,1,0,,514269183
166142065,11058903,2007000995426,"420659511002",60,2,1,2,1,,514268779
166142067,11059419,2007000995426,"420659511004",60,2,1,2,1,,514269339
166142068,11059419,2007000995426,"420659511004",60,1,1,1,0,,514269445
166142070,11060361,2007000995426,"420659512002",60,1,1,1,0,,514270809
166426706,11050239,2007001002218,"420659506001",79,2,1,1,0,,
166426708,11060305,2007001002218,"420659512002",79,2,1,1,0,,
166426710,11062079,2007001002218,"420659513002",79,2,1,1,0,,
166479348,11048594,2007001003497,"420659504002",44,2,1,2,2,,
166479352,11048594,2007001003497,"420659504002",19,1,1,4,5,,
166479355,11051517,2007001003497,"420659506004",11,1,1,6,5,,
166479357,11051517,2007001003497,"420659506004",22,1,1,3,2,,514267691
166479358,11051517,2007001003497,"420659506004",19,1,1,4,5,,
166479359,11051517,2007001003497,"420659506004",16,1,1,5,5,450150577,
166479360,11055535,2007001003497,"420659509002",44,2,1,2,2,,
166479361,11055535,2007001003497,"420659509002",11,1,1,6,5,,
166479363,11055535,2007001003497,"420659509002",22,1,1,3,2,,514268701
166479364,11055535,2007001003497,"420659509002",19,1,1,4,5,,
166479365,11055535,2007001003497,"420659509002",16,1,1,5,5,450110845,
166479367,11055815,2007001003497,"420659509003",11,1,1,6,5,,
166479371,11055815,2007001003497,"420659509003",16,1,1,5,5,450110845,
166479375,11056426,2007001003497,"420659509004",22,1,1,3,2,,514268149
166479381,11056697,2007001003497,"420659510001",22,1,1,3,2,,514268694
166479383,11056697,2007001003497,"420659510001",16,1,1,5,5,450132231,
166479384,11056734,2007001003497,"420659510001",44,2,1,2,2,,
166479386,11056734,2007001003497,"420659510001",63,2,1,1,0,,
166479388,11056734,2007001003497,"420659510001",19,1,1,4,5,,
166479389,11056734,2007001003497,"420659510001",16,1,1,5,5,450150577,
166479391,11060625,2007001003497,"420659512002",11,1,1,6,5,,
166479393,11060625,2007001003497,"420659512002",22,1,1,3,2,,514269174
166479395,11060625,2007001003497,"420659512002",16,1,1,5,5,450150577,
166600432,11047606,2007001006419,"420659503004",47,1,1,1,0,,514265909
166600436,11054919,2007001006419,"420659508003",47,1,1,1,0,,514267976
166600437,11058015,2007001006419,"420659510004",45,2,1,2,1,,
166600438,11058015,2007001006419,"420659510004",47,1,1,1,0,,514269361
166633942,11047024,2007001007196,"420659503002",28,1,1,1,0,,514269607
166675712,11047748,2007001008223,"420659503004",49,2,1,1,0,,514268598
166675714,11051093,2007001008223,"420659506003",49,2,1,1,0,,514268150
166675719,11052384,2007001008223,"420659507001",63,1,1,2,1,,
166675720,11052384,2007001008223,"420659507001",49,2,1,1,0,,514272254
166675722,11058119,2007001008223,"420659510004",49,2,1,1,0,,514269369
166675724,11058137,2007001008223,"420659510004",49,2,1,1,0,,511610461
166681143,11045653,2007001008395,"420659502002",66,2,1,6,6,,
166681144,11045653,2007001008395,"420659502002",14,1,1,4,2,450110701,
166681145,11045653,2007001008395,"420659502002",38,1,1,7,6,,
166681149,11047880,2007001008395,"420659503005",47,2,1,2,1,,
166681151,11047880,2007001008395,"420659503005",14,1,1,4,2,450110702,
166681152,11047880,2007001008395,"420659503005",38,1,1,7,6,,
166681154,11047880,2007001008395,"420659503005",76,1,1,5,6,,
166681158,11052906,2007001008395,"420659507002",14,1,1,4,2,450150578,
166681159,11052906,2007001008395,"420659507002",38,1,1,7,6,,
166681160,11052906,2007001008395,"420659507002",17,2,1,3,2,450132231,
166681166,11053715,2007001008395,"420659508001",38,1,1,7,6,,
166681169,11053715,2007001008395,"420659508001",50,1,1,1,0,,514270454
166681173,11055803,2007001008395,"420659509003",38,1,1,7,6,,
166681174,11055803,2007001008395,"420659509003",17,2,1,3,2,450110845,
166681176,11055803,2007001008395,"420659509003",50,1,1,1,0,,513952764
166681178,11055849,2007001008395,"420659509003",66,2,1,6,6,,
166681181,11055849,2007001008395,"420659509003",17,2,1,3,2,450110845,
166681182,11055849,2007001008395,"420659509003",76,1,1,5,6,,
166681183,11055849,2007001008395,"420659509003",50,1,1,1,0,,514269272
166681185,11055993,2007001008395,"420659509003",66,2,1,6,6,,
166681186,11055993,2007001008395,"420659509003",14,1,1,4,2,450150577,
166681188,11055993,2007001008395,"420659509003",17,2,1,3,2,450150577,
166681191,11057441,2007001008395,"420659510002",47,2,1,2,1,,
166681192,11057441,2007001008395,"420659510002",66,2,1,6,6,,
166681195,11057441,2007001008395,"420659510002",17,2,1,3,2,450150577,
166681196,11057441,2007001008395,"420659510002",76,1,1,5,6,,
166681197,11057441,2007001008395,"420659510002",50,1,1,1,0,,514267976
166681201,11057834,2007001008395,"420659510004",38,1,1,7,6,,
166681206,11057837,2007001008395,"420659510004",66,2,1,6,6,,
166681207,11057837,2007001008395,"420659510004",14,1,1,4,2,450150577,
166681210,11057837,2007001008395,"420659510004",76,1,1,5,6,,
166681211,11057837,2007001008395,"420659510004",50,1,1,1,0,,513927153
166681213,11057931,2007001008395,"420659510004",66,2,1,6,6,,
166681215,11057931,2007001008395,"420659510004",38,1,1,7,6,,
166681216,11057931,2007001008395,"420659510004",17,2,1,3,2,450150577,
166681220,11057983,2007001008395,"420659510004",66,2,1,6,6,,
166681222,11057983,2007001008395,"420659510004",38,1,1,7,6,,
166681223,11057983,2007001008395,"420659510004",17,2,1,3,2,450150577,
166681224,11057983,2007001008395,"420659510004",76,1,1,5,6,,
166681225,11057983,2007001008395,"420659510004",50,1,1,1,0,,514269777
166681228,11057987,2007001008395,"420659510004",14,1,1,4,2,450150578,
166681229,11057987,2007001008395,"420659510004",38,1,1,7,6,,
166681230,11057987,2007001008395,"420659510004",17,2,1,3,2,450150577,
166681231,11057987,2007001008395,"420659510004",76,1,1,5,6,,
166681232,11057987,2007001008395,"420659510004",50,1,1,1,0,,513932329
166681235,11058068,2007001008395,"420659510004",14,1,1,4,2,450150577,
166681236,11058068,2007001008395,"420659510004",38,1,1,7,6,,
166681241,11058082,2007001008395,"420659510004",66,2,1,6,6,,
166681242,11058082,2007001008395,"420659510004",14,1,1,4,2,450150577,
166681244,11058082,2007001008395,"420659510004",17,2,1,3,2,450150577,
166681245,11058082,2007001008395,"420659510004",76,1,1,5,6,,
166681246,11058082,2007001008395,"420659510004",50,1,1,1,0,,514268752
166681251,11058139,2007001008395,"420659510004",17,2,1,3,2,450150577,
166681255,11059481,2007001008395,"420659511004",66,2,1,6,6,,
166681256,11059481,2007001008395,"420659511004",14,1,1,4,2,450150578,
166681262,11061029,2007001008395,"420659512003",66,2,1,6,6,,
166681263,11061029,2007001008395,"420659512003",14,1,1,4,2,450150577,
166729309,11045500,2007001009546,"420659502002",66,2,1,1,0,,
166729310,11048096,2007001009546,"420659503005",66,2,1,1,0,,
166729312,11053828,2007001009546,"420659508001",66,2,1,1,0,,
166729313,11055448,2007001009546,"420659509001",66,2,1,1,0,,
166729314,11056753,2007001009546,"420659510001",66,2,1,1,0,,
166729315,11060014,2007001009546,"420659512001",66,2,1,1,0,,
166729316,11060364,2007001009546,"420659512002",66,2,1,1,0,,
166729317,11061105,2007001009546,"420659512003",66,2,1,1,0,,
166906491,11051071,2007001013724,"420659506003",82,2,1,1,0,,514264859
166906493,11053823,2007001013724,"420659508001",82,2,1,1,0,,514270670
166906496,11062097,2007001013724,"420659513002",82,2,1,1,0,,514269376
166996284,11052881,2007001015903,"420659507002",49,1,1,1,0,,514271119
167000632,11052707,2007001016011,"420659507001",72,2,1,1,0,,
167126506,11054157,2007001018966,"420659508002",63,2,1,2,2,,
167126507,11054157,2007001018966,"420659508002",90,2,1,1,0,,
167126510,11059014,2007001018966,"420659511003",90,2,1,1,0,,
167230566,11048463,2007001021341,"420659504001",46,1,1,1,0,,
167230567,11049312,2007001021341,"420659505001",46,1,1,1,0,,
167230571,11059786,2007001021341,"420659512001",46,1,1,1,0,,
167296721,11047092,2007001022868,"420659503003",55,1,1,2,1,,
167296723,11048560,2007001022868,"420659504002",55,1,1,2,1,,
167296724,11052282,2007001022868,"420659506005",55,2,1,1,0,,
167330661,11045782,2007001023701,"420659502003",73,1,1,2,1,,
167330662,11058124,2007001023701,"420659510004",71,2,1,1,0,,
167330663,11058124,2007001023701,"420659510004",73,1,1,2,1,,
167574689,11044003,2007001029457,"420659501001",35,2,1,2,1,,
167574690,11044003,2007001029457,"420659501001",34,1,1,1,0,,514270182
167574691,11044003,2007001029457,"420659501001",5,2,1,5,2,450110701,
167574693,11044003,2007001029457,"420659501001",11,2,1,4,2,450110702,
167574696,11044062,2007001029457,"420659501001",5,2,1,5,2,450110701,
167574698,11044062,2007001029457,"420659501001",11,2,1,4,2,450110702,
167574699,11044257,2007001029457,"420659501001",35,2,1,2,1,,
167574706,11044356,2007001029457,"420659501001",5,2,1,5,2,450110701,
167574707,11044356,2007001029457,"420659501001",11,2,1,3,2,450110702,
167574710,11045885,2007001029457,"420659502003",34,1,1,1,0,,514269695
167574711,11045885,2007001029457,"420659502003",5,2,1,5,2,450145390,
167574712,11045885,2007001029457,"420659502003",11,2,1,3,2,450129160,
167574714,11048681,2007001029457,"420659504002",35,2,1,2,1,,
167574720,11049917,2007001029457,"420659505002",34,1,1,1,0,,514268289
167574725,11053429,2007001029457,"420659507003",34,1,1,1,0,,514268938
167574726,11053429,2007001029457,"420659507003",5,2,1,5,2,450111632,
167574727,11053429,2007001029457,"420659507003",11,2,1,3,2,450150578,
167574729,11055343,2007001029457,"420659509001",35,2,1,2,1,,
167574730,11055343,2007001029457,"420659509001",34,1,1,1,0,,514269162
167574731,11055343,2007001029457,"420659509001",5,2,1,5,2,450139177,
167574732,11055343,2007001029457,"420659509001",11,2,1,3,2,450110845,
167574733,11055343,2007001029457,"420659509001",11,2,1,4,2,450110845,
167574734,11055441,2007001029457,"420659509001",35,2,1,2,1,,
167574736,11055441,2007001029457,"420659509001",5,2,1,5,2,450139177,
167574738,11055441,2007001029457,"420659509001",11,2,1,4,2,450150578,
167574742,11056707,2007001029457,"420659510001",11,2,1,3,2,450150578,
167574744,11057355,2007001029457,"420659510002",35,2,1,2,1,,
167574748,11057355,2007001029457,"420659510002",11,2,1,4,2,450150578,
167574749,11058940,2007001029457,"420659511002",35,2,1,2,1,,
167574750,11058940,2007001029457,"420659511002",34,1,1,1,0,,514268807
167574754,11059228,2007001029457,"420659511003",35,2,1,2,1,,
167613942,11044595,2007001030412,"420659501002",26,1,1,1,0,,
167613943,11044595,2007001030412,"420659501002",9,1,1,5,7,450110701,
167613948,11056180,2007001030412,"420659509003",26,1,1,1,0,,
167613951,11056180,2007001030412,"420659509003",8,1,1,6,7,450139177,
167613952,11056180,2007001030412,"420659509003",11,1,1,4,7,450150578,
167613953,11056180,2007001030412,"420659509003",33,2,1,2,1,,
167613956,11056382,2007001030412,"420659509004",14,1,1,3,7,450150577,
167613957,11056382,2007001030412,"420659509004",8,1,1,6,7,450139177,
167613958,11056382,2007001030412,"420659509004",11,1,1,4,7,450150577,
167622666,11044987,2007001030615,"420659502001",50,1,1,1,0,,514269697
167622667,11044987,2007001030615,"420659502001",10,1,1,5,2,450110701,
167622669,11044987,2007001030615,"420659502001",15,1,1,3,2,450110702,
167622671,11056679,2007001030615,"420659509004",50,1,1,1,0,,514266271
167622672,11056679,2007001030615,"420659509004",10,1,1,5,2,450139177,
167624910,11048601,2007001030669,"420659504002",61,2,1,1,0,,514268367
167624911,11053530,2007001030669,"420659508001",61,2,1,1,0,,514270454
167767663,11054304,2007001034071,"420659508002",76,2,1,1,0,,
167767664,11062072,2007001034071,"420659513002",76,2,1,1,0,,
167777842,11051452,2007001034349,"420659506003",62,1,1,2,1,,
167777843,11051452,2007001034349,"420659506003",58,2,1,1,0,,514266982
167777845,11053297,2007001034349,"420659507003",58,2,1,1,0,,514268093
167796372,11049383,2007001034819,"420659505001",69,2,1,1,0,,
167796374,11057696,2007001034819,"420659510003",69,2,1,1,0,,
167796375,11059996,2007001034819,"420659512001",69,2,1,1,0,,
167978518,11044601,2007001038924,"420659501002",24,2,1,1,0,,514269697
167978519,11047875,2007001038924,"420659503005",24,2,1,1,0,,514271558
168086569,11050443,2007001041409,"420659506001",80,1,1,2,1,,
168086570,11050443,2007001041409,"420659506001",75,2,1,1,0,,
168086572,11059261,2007001041409,"420659511003",75,2,1,1,0,,
168149409,11047168,2007001042944,"420659503003",45,2,1,3,6,,514253859
168149410,11047168,2007001042944,"420659503003",47,1,1,2,2,,
168149411,11056198,2007001042944,"420659509003",82,2,1,1,0,,
168149412,11056198,2007001042944,"420659509003",45,2,1,3,6,,514268779
168149413,11056198,2007001042944,"420659509003",47,1,1,2,2,,
168350814,11044659,2007001047531,"420659501002",61,1,1,2,1,,
168350816,11051212,2007001047531,"420659506003",61,1,1,2,1,,
168350819,11054963,2007001047531,"420659508003",65,2,1,1,0,,
168411002,11052521,2007001048966,"420659507001",70,2,1,1,0,,
168411004,11058883,2007001048966,"420659511002",70,2,1,1,0,,
168411006,11060618,2007001048966,"420659512002",70,2,1,1,0,,
168642920,11045134,2007001054466,"420659502001",67,2,1,2,1,,514270701
168642921,11045134,2007001054466,"420659502001",75,1,1,1,0,,
168642922,11045213,2007001054466,"420659502001",67,2,1,2,1,,513553082
168642923,11045213,2007001054466,"420659502001",75,1,1,1,0,,
168679424,11047743,2007001055328,"420659503004",60,2,1,2,3,,
168679426,11054333,2007001055328,"420659508002",78,1,1,3,12,,
168679428,11058379,2007001055328,"420659511001",50,1,1,1,0,,
168679430,11058379,2007001055328,"420659511001",60,2,1,2,3,,
168679432,11061124,2007001055328,"420659512003",78,1,1,3,12,,
168682818,11049669,2007001055427,"420659505002",20,1,1,1,0,,
168682819,11052002,2007001055427,"420659506005",20,1,1,1,0,,
168682820,11052971,2007001055427,"420659507002",20,1,1,1,0,,
168682823,11056037,2007001055427,"420659509003",20,1,1,1,0,,
168682824,11059599,2007001055427,"420659511004",20,1,1,1,0,,
168682825,11060445,2007001055427,"420659512002",20,1,1,1,0,,
168682826,11060648,2007001055427,"420659512002",20,1,1,1,0,,
168682827,11060647,2007001055427,"420659512002",20,1,1,1,0,,
168682828,11060787,2007001055427,"420659512003",20,1,1,1,0,,
168682830,11061793,2007001055427,"420659513002",20,1,1,1,0,,
168682831,11061802,2007001055427,"420659513002",20,1,1,1,0,,
168833417,11047056,2007001058877,"420659503003",47,2,1,1,0,,514270840
168833419,11047259,2007001058877,"420659503003",17,2,1,2,2,,514262758
168833420,11047259,2007001058877,"420659503003",47,2,1,1,0,,514269361
168833421,11047259,2007001058877,"420659503003",18,1,1,3,12,,
168833424,11055778,2007001058877,"420659509003",18,1,1,3,12,,
168833426,11058512,2007001058877,"420659511001",47,2,1,1,0,,514267988
168833427,11058512,2007001058877,"420659511001",18,1,1,3,12,,
168850925,11053584,2007001059328,"420659508001",47,1,1,1,0,,514270825
168850928,11053584,2007001059328,"420659508001",16,2,1,3,2,450132231,514267678
168850929,11053805,2007001059328,"420659508001",47,1,1,1,0,,514271168
168850931,11053805,2007001059328,"420659508001",44,2,1,2,1,,514270453
168850933,11060889,2007001059328,"420659512003",47,1,1,1,0,,513560213
168850934,11060889,2007001059328,"420659512003",13,1,1,4,2,450150577,
168909594,11044078,2007001060722,"420659501001",50,2,1,1,0,,514269666
168909597,11052318,2007001060722,"420659507001",50,2,1,1,0,,514271168
168909601,11059705,2007001060722,"420659511004",50,2,1,1,0,,513925854
169020170,11050456,2007001063295,"420659506001",66,2,1,1,0,,514267791
169074566,11045689,2007001064554,"420659502002",62,2,1,2,1,,514268683
169074567,11047148,2007001064554,"420659503003",47,1,1,1,0,,
169074570,11050743,2007001064554,"420659506002",47,1,1,1,0,,
169116811,11046178,2007001065507,"420659503001",43,1,1,2,2,,
169116812,11046178,2007001065507,"420659503001",67,2,1,1,0,,
169116814,11046625,2007001065507,"420659503002",67,2,1,1,0,,
169116818,11057777,2007001065507,"420659510003",67,2,1,1,0,,
169116819,11062312,2007001065507,"420659513003",43,1,1,2,2,,
169214759,11058744,2007001067861,"420659511002",69,2,1,2,1,,
169214760,11058744,2007001067861,"420659511002",73,1,1,1,0,,
169236651,11058396,2007001068466,"420659511001",85,2,1,1,0,,
169236652,11058396,2007001068466,"420659511001",56,2,1,2,2,,513933532
169302180,11044939,2007001069998,"420659502001",77,1,1,1,0,,
169302183,11053806,2007001069998,"420659508001",77,2,1,2,1,,
169302184,11056262,2007001069998,"420659509004",77,1,1,1,0,,
169302185,11056262,2007001069998,"420659509004",77,2,1,2,1,,
169318268,11047453,2007001070365,"420659503003",75,2,1,2,1,,
169318270,11052119,2007001070365,"420659506005",75,2,1,2,1,,
169318273,11053017,2007001070365,"420659507003",79,1,1,1,0,,
169318276,11055076,2007001070365,"420659509001",75,2,1,2,1,,
169376304,11049205,2007001071768,"420659505001",77,1,1,1,0,,514265872
169376305,11050059,2007001071768,"420659506001",77,1,1,1,0,,514268522
169376306,11061661,2007001071768,"420659513002",77,1,1,1,0,,514268522
169472181,11044434,2007001074081,"420659501002",17,2,1,2,2,450110702,514270241
169472182,11044434,2007001074081,"420659501002",46,2,1,1,0,,514270999
169472183,11045647,2007001074081,"420659502002",17,2,1,2,2,450110702,514273234
169472186,11046307,2007001074081,"420659503001",46,2,1,1,0,,514269936
169472188,11046398,2007001074081,"420659503001",46,2,1,1,0,,514270406
169472189,11046995,2007001074081,"420659503002",17,2,1,2,2,450110845,514270454
169472190,11046995,2007001074081,"420659503002",46,2,1,1,0,,514272658
169472191,11047483,2007001074081,"420659503003",17,2,1,2,2,450110845,514269075
169472194,11047965,2007001074081,"420659503005",46,2,1,1,0,,514268093
169472196,11048152,2007001074081,"420659503005",46,2,1,1,0,,514270908
169472199,11051802,2007001074081,"420659506004",17,2,1,2,2,450110845,514267988
169472202,11054921,2007001074081,"420659508003",46,2,1,1,0,,514270454
169472204,11055496,2007001074081,"420659509001",46,2,1,1,0,,514269387
169472207,11056818,2007001074081,"420659510001",17,2,1,2,2,450150577,514271540
169472208,11056818,2007001074081,"420659510001",46,2,1,1,0,,514269827
169472209,11058348,2007001074081,"420659511001",17,2,1,2,2,450150577,514269361
169473432,11047348,2007001074114,"420659503003",53,2,1,2,1,,514267167
169473433,11047348,2007001074114,"420659503003",53,1,1,1,0,,514265913
169473434,11049507,2007001074114,"420659505001",53,2,1,2,1,,514270454
169473435,11049507,2007001074114,"420659505001",53,1,1,1,0,,514267727
169483397,11043890,2007001074348,"420659501001",22,2,1,3,2,,
169483398,11043890,2007001074348,"420659501001",0,1,1,6,5,,
169483403,11047769,2007001074348,"420659503004",22,2,1,3,2,,
169483404,11047769,2007001074348,"420659503004",0,1,1,6,5,,
169483405,11047769,2007001074348,"420659503004",47,2,1,2,1,,
169483409,11056299,2007001074348,"420659509004",22,2,1,3,2,,
169483410,11056299,2007001074348,"420659509004",0,1,1,6,5,,
169483416,11057219,2007001074348,"420659510002",0,1,1,6,5,,
169483418,11057219,2007001074348,"420659510002",8,1,1,4,5,450149079,
169483419,11057219,2007001074348,"420659510002",4,1,1,5,5,450102519,
169520797,11044910,2007001075250,"420659502001",88,1,1,2,1,,
169520798,11047630,2007001075250,"420659503004",84,2,1,1,0,,
